DATE,OPEN,HIGH,LOW,CLOSE,SPEED Signal SL,REV SL,SPEED Trend SL
29-02-2016,387,391.65,374,375.75,392,376.58,399.11
01-03-2016,380.1,393.2,380.1,392,373.66,390.67,399.11
02-03-2016,400,411.8,400,407.25,379.76,394.68,373.66
03-03-2016,411.35,419,407.1,417.15,388.83,402.06,373.66
04-03-2016,418.15,418.15,409.25,416.05,394.54,407.94,373.66
08-03-2016,415.6,423.05,408.8,411.75,401.22,414.61,373.66
09-03-2016,409,418.2,407.5,416.85,407.09,419.43,373.66
10-03-2016,417.5,420,410.6,413,407.13,420.59,379.76
11-03-2016,413.85,421.95,408.25,412.8,407.88,420.32,399.64
14-03-2016,417.6,422.25,413.1,415.45,407.88,420.53,406.73
15-03-2016,417.5,421.75,416.1,418.85,410.35,420.82,407.13
16-03-2016,419,426.35,411,424.6,410.63,422.71,407.13
17-03-2016,430,435,425.5,428.15,410.63,425.74,407.13
18-03-2016,429.95,437.6,429.1,436.1,419.15,429.55,407.88
21-03-2016,439,445.5,437.9,444.5,424.44,434.87,407.88
22-03-2016,447,447.6,434.3,441.25,428.46,440.1,410.63
23-03-2016,439.25,441.25,435.1,437.5,432.4,442.2,410.63
28-03-2016,437.85,438.6,419.8,422.9,442.36,430.7,410.63
29-03-2016,423.9,432.9,422.4,429.45,441.29,429.24,419.42
30-03-2016,433.3,445.7,432.1,444.25,422.02,441.67,419.42
31-03-2016,443.7,449,438.2,444.15,429.23,441.98,419.42
01-04-2016,440.9,452,440.05,449.9,430.83,444.74,419.42
04-04-2016,451.5,451.55,442.1,444.75,435.84,447.9,419.42
05-04-2016,443.4,449.5,431,432.6,451.96,436.3,419.42
06-04-2016,433.3,436.3,423.1,424.65,449.9,433.12,422.02
07-04-2016,427.75,431.8,424.9,426.65,442.95,430.16,422.72
08-04-2016,426.7,427.35,420.05,421.6,437.22,425.37,452.41
11-04-2016,423.9,431.9,417.5,429.8,434.24,421.41,452.41
12-04-2016,430.5,436.45,429.4,434.05,432.8,417.12,451.96
13-04-2016,440.05,445.3,438.1,440.5,425.77,435.11,449.9
18-04-2016,444.95,446.05,437.4,445.25,428.96,438.66,446.45
20-04-2016,446.1,460.65,444.35,459.1,434.49,446.49,417.12
21-04-2016,463.8,472.75,463,467.95,440.37,454,417.12
22-04-2016,465.6,478.5,462.1,475.85,447.84,463.01,417.12
25-04-2016,474,477.35,465,469.9,455.16,469.41,429.01
26-04-2016,470.1,484.9,463.65,480.2,461.45,477.51,437.01
27-04-2016,461.3,473.5,458.05,465.5,457.64,479.16,437.01
28-04-2016,463,471.85,461.55,468.05,457.64,479.15,443.95
29-04-2016,466.75,477.45,465.05,472.4,461.13,478.36,457.64
02-05-2016,474.35,479,468.45,471.8,463.76,478.6,457.64
03-05-2016,473.9,475,466.3,470.55,463.49,475.81,457.64
04-05-2016,466,470,460.25,462.45,475.43,463.61,457.64
05-05-2016,463,467.3,458.45,461.05,473.46,462.57,457.64
06-05-2016,461,464.05,459,461.45,470.61,461.19,458.04
09-05-2016,465.8,478,461.65,477.1,458.59,471.64,458.04
10-05-2016,479,489,478.15,487.95,461.23,475.04,458.04
11-05-2016,482.6,499.35,480.25,498.2,469.5,482.39,458.04
12-05-2016,498.6,506.9,490.6,492.55,475.13,489.74,458.04
13-05-2016,493.7,496.2,486.5,490.65,480.75,496.09,458.04
16-05-2016,492,493.65,477.25,486.45,483.03,498.38,458.59
17-05-2016,490.7,505.5,490.3,503.35,476.82,501.83,461.23
18-05-2016,498.5,503,495.25,501.1,487.74,501.7,476.82
19-05-2016,501.75,501.75,489,490.5,487.6,500.85,476.82
20-05-2016,493.95,495.7,488.1,490.6,487.66,500.67,476.82
23-05-2016,495.4,495.4,485,486.5,500.39,488.76,476.82
24-05-2016,483.25,490.95,482,488.95,497.08,486.71,476.82
25-05-2016,494,503,493.35,502.15,481.57,497.35,481.57
26-05-2016,502.5,523,500.25,519,490.47,503.24,481.57
27-05-2016,520.25,525,509,512.4,494.21,508.66,481.57
30-05-2016,513.95,522.05,512.5,513.7,499.72,514.02,481.57
31-05-2016,515,518.7,510.7,515.2,505.19,519.31,481.57
01-06-2016,524.85,529.45,510,511.95,506.96,523.03,481.57
02-06-2016,510.5,525,506.75,524.35,506.29,523.58,492.91
03-06-2016,527.15,544.95,527,542.65,506.29,529.08,499.8
06-06-2016,542.1,545,530.3,532.85,516.89,533.51,506.29
07-06-2016,539.1,539.1,526.75,534.4,520.23,537.72,506.29
08-06-2016,536.4,541.45,530.8,539,525.81,541.55,506.29
09-06-2016,542.95,545.9,537.1,542.6,530.32,544.75,506.29
10-06-2016,540,549.15,538.3,541.05,531.9,544.34,506.29
13-06-2016,529.8,534.6,524,531.15,549.64,531.53,523.53
14-06-2016,535.8,535.8,525.5,529.65,542.15,530.95,523.53
15-06-2016,531.9,533.4,522.65,528.8,540.26,529.04,522.18
16-06-2016,528,528.3,516,523.45,536.77,524.85,515.54
17-06-2016,526.9,533.9,524.7,526.9,534.38,522.17,515.54
20-06-2016,515,523.9,514,522.45,534.38,520.39,513.54
21-06-2016,524.5,524.5,515.45,517.4,529.36,518.17,513.54
22-06-2016,517.9,521,513.6,516.2,526.62,516.12,513.14
23-06-2016,518,528,514.8,526.4,527.06,513.14,513.14
24-06-2016,502,511.6,492.8,510.5,528.48,511.42,534.38
27-06-2016,507.4,517.6,507.15,514.45,522.57,509.86,534.38
28-06-2016,515,520.5,512.75,514,521.76,509.31,528.48
29-06-2016,518.5,518.95,514.25,517.85,521.67,509.76,528.48
30-06-2016,522,535.25,521,533.5,511.05,523.17,492.36
01-07-2016,535.8,545.7,535.5,542.9,518.11,529.19,492.36
04-07-2016,545.5,546.95,539.5,543.85,523.02,535.98,492.36
05-07-2016,541.2,546.25,535.25,539.7,529.12,540.24,506.69
07-07-2016,539.2,545.9,535.3,542.25,534.02,545.69,512.29
08-07-2016,541,548.5,540,546.45,534.82,547.92,513.79
11-07-2016,551.65,553,541.55,544.4,537.91,548.69,520.53
12-07-2016,550,562.1,549.15,561,540.47,552.35,534.77
13-07-2016,563.7,563.7,551.1,556.85,543.7,555.91,534.77
14-07-2016,555.75,561.7,553.6,560.25,547.49,559.2,534.77
15-07-2016,556.15,570.45,556,565.05,550.63,563.55,534.82
18-07-2016,570,576.8,569,571,555.5,568.44,539.51
19-07-2016,570.7,573.85,563.85,565.45,558.02,569.62,541.06
20-07-2016,563.3,567.85,555.85,558.25,558.56,574.37,548.66
21-07-2016,557.9,557.9,535.55,538.05,568.36,553.45,577.32
22-07-2016,537.95,545.3,532.9,537.7,562.32,548.41,577.32
25-07-2016,518.5,540,518.5,538.1,556.38,539.75,577.32
26-07-2016,539.7,559.2,535.45,553.8,554.77,518.03,577.32
27-07-2016,553.85,558.1,543.45,548.85,553.04,533.13,574.37
28-07-2016,548.1,553.35,538.05,543.85,553.04,534.54,568.36
29-07-2016,542.5,551.8,542.5,546.15,554.4,536.51,559.7
01-08-2016,546.25,557.7,546.25,550.55,556.57,540.69,559.7
02-08-2016,552,555.6,547.1,549.65,554.76,541.93,559.7
03-08-2016,549.65,552.95,540.85,549.35,554.31,540.36,559.7
04-08-2016,551.9,556,544.65,547.5,554.71,540.36,558.6
05-08-2016,552.4,569,550.55,567.25,544.16,559.28,537.57
08-08-2016,568.45,572.4,565.25,571.15,550.05,562.73,540.36
09-08-2016,570.5,576,566.7,574.1,554.72,567.4,540.36
10-08-2016,574.05,575.3,563,567.9,558.66,571.38,540.36
11-08-2016,564.25,574.9,564.25,569.75,562.49,575.57,540.36
12-08-2016,569.85,593.2,569.8,591,563.74,580.68,544.16
16-08-2016,593.95,593.95,580,583.3,569.24,584.2,550.05
17-08-2016,588.2,598,585.2,589.5,572.29,587.95,562.49
18-08-2016,591.1,597.3,590.8,593.15,577.89,592.4,562.49
19-08-2016,595.4,597.6,586.1,588.55,581.79,596.48,562.49
22-08-2016,589.9,589.95,579.4,580.25,598.14,581.86,563.74
23-08-2016,581.25,585,580.1,582.5,592.67,582.36,569.29
24-08-2016,584.85,584.85,578.65,583.4,590.53,581.55,578.13
25-08-2016,586.8,594,585,586.55,589.6,578.13,578.13
26-08-2016,586.5,589,580.3,586.4,588.55,579.63,578.13
29-08-2016,586.4,597,586,589.15,579.78,590.24,578.13
30-08-2016,592,599.25,588.55,591.15,582.56,592.73,578.13
31-08-2016,591.5,603.85,580.7,596.85,580.18,596.93,578.13
01-09-2016,597.05,603,592,596.65,580.18,599.01,578.13
02-09-2016,597.7,602,594.25,599.2,587.73,601.52,579.78
06-09-2016,602.5,637.8,602.5,635.9,593.44,612.1,579.78
07-09-2016,637.75,638.3,622.5,625.1,599.88,619.58,580.18
08-09-2016,626,634,619.75,629.35,607.41,625.34,580.18
09-09-2016,615.1,624.7,611.7,613.1,610.78,634.57,580.18
12-09-2016,597.8,601.85,588.4,592.1,628.54,609.06,587.87
14-09-2016,593,604.65,590.45,601.8,620.36,604.11,587.87
15-09-2016,601.05,603,583.3,588.75,613.42,597.41,582.78
16-09-2016,592.25,612.4,592.25,602.2,612.95,591.57,582.78
19-09-2016,603,606,592.85,594.35,612.95,587.8,582.78
20-09-2016,598.8,599,589.15,592.95,606.55,588.21,582.78
21-09-2016,596.5,600.35,594.5,598.9,603.46,588.65,582.78
22-09-2016,610,612,590,591.8,612.55,589.35,582.78
23-09-2016,595.6,596.1,555.7,557.45,612.55,579.6,612.95
26-09-2016,559.1,560,545.3,547.4,596.64,570.08,612.95
